,"Belfast Centre",,,,,
Date,Ozone,Status,"Nitrogen dioxide",Status,"Sulphur dioxide",Status
01/01/2008,34,"V µg/m³",32,"V µg/m³",2,"V µg/m³"
02/01/2008,43,"V µg/m³",29,"V µg/m³",3,"V µg/m³"
03/01/2008,38,"V µg/m³",28,"V µg/m³",4,"V µg/m³"
04/01/2008,17,"V µg/m³",47,"V µg/m³",6,"V µg/m³"
05/01/2008,58,"V µg/m³",25,"V µg/m³",3,"V µg/m³"
06/01/2008,40,"V µg/m³",35,"V µg/m³",6,"V µg/m³"
07/01/2008,39,"V µg/m³",39,"V µg/m³",6,"V µg/m³"
08/01/2008,37,"V µg/m³",48,"V µg/m³",6,"V µg/m³"
09/01/2008,42,"V µg/m³",39,"V µg/m³",3,"V µg/m³"
10/01/2008,16,"V µg/m³",59,"V µg/m³",6,"V µg/m³"
11/01/2008,14,"V µg/m³",57,"V µg/m³",6,"V µg/m³"
12/01/2008,32,"V µg/m³",39,"V µg/m³",3,"V µg/m³"
13/01/2008,52,"V µg/m³",25,"V µg/m³",3,"V µg/m³"
14/01/2008,23,"V µg/m³",47,"V µg/m³",5,"V µg/m³"
15/01/2008,12,"V µg/m³",62,"V µg/m³",7,"V µg/m³"
16/01/2008,21,"V µg/m³",58,"V µg/m³",13,"V µg/m³"
17/01/2008,30,"V µg/m³",49,"V µg/m³",6,"V µg/m³"
18/01/2008,51,"V µg/m³",31,"V µg/m³",3,"V µg/m³"
19/01/2008,33,"V µg/m³",45,"V µg/m³",4,"V µg/m³"
20/01/2008,32,"V µg/m³",43,"V µg/m³",3,"V µg/m³"
21/01/2008,32,"V µg/m³",47,"V µg/m³",8,"V µg/m³"
22/01/2008,10,"V µg/m³",68,"V µg/m³",9,"V µg/m³"
23/01/2008,32,"V µg/m³",42,"V µg/m³",3,"V µg/m³"
24/01/2008,52,"V µg/m³",31,"V µg/m³",2,"V µg/m³"
25/01/2008,67,"V µg/m³",23,"V µg/m³",1,"V µg/m³"
26/01/2008,69,"V µg/m³",21,"V µg/m³",3,"V µg/m³"
27/01/2008,58,"V µg/m³",23,"V µg/m³",4,"V µg/m³"
28/01/2008,26,"V µg/m³",46,"V µg/m³",4,"V µg/m³"
29/01/2008,44,"V µg/m³",34,"V µg/m³",2,"V µg/m³"
30/01/2008,43,"V µg/m³",37,"V µg/m³",4,"V µg/m³"
31/01/2008,72,"V µg/m³",19,"V µg/m³",3,"V µg/m³"
01/02/2008,64,"V µg/m³",21,"V µg/m³",4,"V µg/m³"
02/02/2008,46,"V µg/m³",34,"V µg/m³",2,"V µg/m³"
03/02/2008,69,"V µg/m³",17,"V µg/m³",3,"V µg/m³"
04/02/2008,28,"V µg/m³",47,"V µg/m³",4,"V µg/m³"
05/02/2008,37,"V µg/m³",39,"V µg/m³",2,"V µg/m³"
